,batch_id,datetime,pressure_hobo
16663,1327,2020-05-13 20:15:00,620.1
16664,1327,2020-05-13 20:30:00,620.1
16665,1327,2020-05-13 20:45:00,620.1
16666,1327,2020-05-13 21:00:00,620.08
16667,1327,2020-05-13 21:15:00,620.44
16668,1327,2020-05-13 21:30:00,620.29
16669,1327,2020-05-13 21:45:00,620.29
16670,1327,2020-05-13 22:00:00,620.58
16671,1327,2020-05-13 22:15:00,620.71
16672,1327,2020-05-13 22:30:00,620.77
16673,1327,2020-05-13 22:45:00,620.84
16674,1327,2020-05-13 23:00:00,620.92
16675,1327,2020-05-13 23:15:00,620.84
16676,1327,2020-05-13 23:30:00,620.77
16677,1327,2020-05-13 23:45:00,620.92
16870,1327,2020-05-14 00:00:00,620.71
16871,1327,2020-05-14 00:15:00,620.63
16872,1327,2020-05-14 00:30:00,620.68
16873,1327,2020-05-14 00:45:00,620.68
16874,1327,2020-05-14 01:00:00,620.76
16875,1327,2020-05-14 01:15:00,620.76
16876,1327,2020-05-14 01:30:00,620.97
16877,1327,2020-05-14 01:45:00,620.83
16878,1327,2020-05-14 02:00:00,620.68
16879,1327,2020-05-14 02:15:00,620.9
16880,1327,2020-05-14 02:30:00,620.83
16881,1327,2020-05-14 02:45:00,621.04
16882,1327,2020-05-14 03:00:00,620.83
16883,1327,2020-05-14 03:15:00,620.95
16884,1327,2020-05-14 03:30:00,621.02
16885,1327,2020-05-14 03:45:00,621.02
16886,1327,2020-05-14 04:00:00,621.02
16887,1327,2020-05-14 04:15:00,620.95
16888,1327,2020-05-14 04:30:00,621.1
16889,1327,2020-05-14 04:45:00,621.16
16890,1327,2020-05-14 05:00:00,621.45
16891,1327,2020-05-14 05:15:00,621.31
16892,1327,2020-05-14 05:30:00,621.31
16893,1327,2020-05-14 05:45:00,621.22
16894,1327,2020-05-14 06:00:00,621.36
16895,1327,2020-05-14 06:15:00,621.57
16896,1327,2020-05-14 06:30:00,621.64
16897,1327,2020-05-14 06:45:00,621.71
16898,1327,2020-05-14 07:00:00,621.8
16899,1327,2020-05-14 07:15:00,621.94
16900,1327,2020-05-14 07:30:00,621.94
16901,1327,2020-05-14 07:45:00,621.89
16902,1327,2020-05-14 08:00:00,621.89
16903,1327,2020-05-14 08:15:00,622.18
16904,1327,2020-05-14 08:30:00,622.12
16905,1327,2020-05-14 08:45:00,622.26
16906,1327,2020-05-14 09:00:00,622.28
16907,1327,2020-05-14 09:15:00,622.18
16908,1327,2020-05-14 09:30:00,622.42
16909,1327,2020-05-14 09:45:00,622.3
16910,1327,2020-05-14 10:00:00,622.24
16911,1327,2020-05-14 10:15:00,622.14
16912,1327,2020-05-14 10:30:00,622.09
16913,1327,2020-05-14 10:45:00,622.09
16914,1327,2020-05-14 11:00:00,622.06
16915,1327,2020-05-14 11:15:00,622.05
16916,1327,2020-05-14 11:30:00,621.8
16917,1327,2020-05-14 11:45:00,621.89
16918,1327,2020-05-14 12:00:00,621.96
16919,1327,2020-05-14 12:15:00,621.73
16920,1327,2020-05-14 12:30:00,621.92
16921,1327,2020-05-14 12:45:00,621.75
16922,1327,2020-05-14 13:00:00,621.66
16923,1327,2020-05-14 13:15:00,621.52
16924,1327,2020-05-14 13:30:00,621.43
16925,1327,2020-05-14 13:45:00,621.53
16926,1327,2020-05-14 14:00:00,621.41
16927,1327,2020-05-14 14:15:00,621.39
16928,1327,2020-05-14 14:30:00,621.23
16929,1327,2020-05-14 14:45:00,621.23
16930,1327,2020-05-14 15:00:00,621.04
16931,1327,2020-05-14 15:15:00,621.04
16932,1327,2020-05-14 15:30:00,621.02
16933,1327,2020-05-14 15:45:00,621.01
16934,1327,2020-05-14 16:00:00,621.06
16935,1327,2020-05-14 16:15:00,620.92
16936,1327,2020-05-14 16:30:00,620.86
16937,1327,2020-05-14 16:45:00,620.81
16938,1327,2020-05-14 17:00:00,620.68
16939,1327,2020-05-14 17:15:00,620.75
16940,1327,2020-05-14 17:30:00,620.88
16941,1327,2020-05-14 17:45:00,621.01
16942,1327,2020-05-14 18:00:00,621.01
16943,1327,2020-05-14 18:15:00,620.86
16944,1327,2020-05-14 18:30:00,620.84
16945,1327,2020-05-14 18:45:00,620.97
16946,1327,2020-05-14 19:00:00,620.95
16947,1327,2020-05-14 19:15:00,621.02
16948,1327,2020-05-14 19:30:00,621.01
16949,1327,2020-05-14 19:45:00,621.2
16950,1327,2020-05-14 20:00:00,621.34
16951,1327,2020-05-14 20:15:00,621.18
16952,1327,2020-05-14 20:30:00,621.23
16953,1327,2020-05-14 20:45:00,621.23
16954,1327,2020-05-14 21:00:00,621.16
16955,1327,2020-05-14 21:15:00,621.37
16956,1327,2020-05-14 21:30:00,621.5
16957,1327,2020-05-14 21:45:00,621.57
16958,1327,2020-05-14 22:00:00,621.64
16959,1327,2020-05-14 22:15:00,621.85
16960,1327,2020-05-14 22:30:00,621.71
16961,1327,2020-05-14 22:45:00,621.85
16962,1327,2020-05-14 23:00:00,621.92
16963,1327,2020-05-14 23:15:00,621.85
16964,1327,2020-05-14 23:30:00,621.92
16965,1327,2020-05-14 23:45:00,621.91
17158,1327,2020-05-15 00:00:00,621.91
17159,1327,2020-05-15 00:15:00,621.84
17160,1327,2020-05-15 00:30:00,621.98
17161,1327,2020-05-15 00:45:00,621.98
17162,1327,2020-05-15 01:00:00,622.05
17163,1327,2020-05-15 01:15:00,622.12
17164,1327,2020-05-15 01:30:00,622.05
17165,1327,2020-05-15 01:45:00,622.19
17166,1327,2020-05-15 02:00:00,622.12
17167,1327,2020-05-15 02:15:00,622.19
17168,1327,2020-05-15 02:30:00,622.26
17169,1327,2020-05-15 02:45:00,622.12
17170,1327,2020-05-15 03:00:00,622.26
17171,1327,2020-05-15 03:15:00,622.33
17172,1327,2020-05-15 03:30:00,622.26
17173,1327,2020-05-15 03:45:00,622.19
17174,1327,2020-05-15 04:00:00,622.33
17175,1327,2020-05-15 04:15:00,622.26
17176,1327,2020-05-15 04:30:00,622.26
17177,1327,2020-05-15 04:45:00,622.31
17178,1327,2020-05-15 05:00:00,622.45
17179,1327,2020-05-15 05:15:00,622.6
17180,1327,2020-05-15 05:30:00,622.67
17181,1327,2020-05-15 05:45:00,622.67
17182,1327,2020-05-15 06:00:00,622.67
17183,1327,2020-05-15 06:15:00,622.88
17184,1327,2020-05-15 06:30:00,622.95
17185,1327,2020-05-15 06:45:00,622.88
17186,1327,2020-05-15 07:00:00,622.95
17187,1327,2020-05-15 07:15:00,623.02
17188,1327,2020-05-15 07:30:00,623.17
17189,1327,2020-05-15 07:45:00,623.39
17190,1327,2020-05-15 08:00:00,623.39
17191,1327,2020-05-15 08:15:00,623.39
17192,1327,2020-05-15 08:30:00,623.26
17193,1327,2020-05-15 08:45:00,623.34
17194,1327,2020-05-15 09:00:00,623.2
17195,1327,2020-05-15 09:15:00,623.36
17196,1327,2020-05-15 09:30:00,623.38
17197,1327,2020-05-15 09:45:00,623.23
17198,1327,2020-05-15 10:00:00,623.39
17199,1327,2020-05-15 10:15:00,623.34
17200,1327,2020-05-15 10:30:00,623.43
17201,1327,2020-05-15 10:45:00,623.41
17202,1327,2020-05-15 11:00:00,623.29
17203,1327,2020-05-15 11:15:00,623.41
17204,1327,2020-05-15 11:30:00,623.18
17205,1327,2020-05-15 11:45:00,623.38
17206,1327,2020-05-15 12:00:00,623.23
17207,1327,2020-05-15 12:15:00,623.13
17208,1327,2020-05-15 12:30:00,623.34
17209,1327,2020-05-15 12:45:00,623.18
17210,1327,2020-05-15 13:00:00,623.34
17211,1327,2020-05-15 13:15:00,623.13
17212,1327,2020-05-15 13:30:00,623.04
17213,1327,2020-05-15 13:45:00,623.0
17214,1327,2020-05-15 14:00:00,622.99
17215,1327,2020-05-15 14:15:00,622.7
17216,1327,2020-05-15 14:30:00,622.79
17217,1327,2020-05-15 14:45:00,622.74
17218,1327,2020-05-15 15:00:00,622.49
17219,1327,2020-05-15 15:15:00,622.7
17220,1327,2020-05-15 15:30:00,622.56
17221,1327,2020-05-15 15:45:00,622.42
17222,1327,2020-05-15 16:00:00,622.44
17223,1327,2020-05-15 16:15:00,622.47
17224,1327,2020-05-15 16:30:00,622.36
17225,1327,2020-05-15 16:45:00,622.14
17226,1327,2020-05-15 17:00:00,622.21
17227,1327,2020-05-15 17:15:00,622.12
17228,1327,2020-05-15 17:30:00,622.45
17229,1327,2020-05-15 17:45:00,622.51
17230,1327,2020-05-15 18:00:00,622.49
17231,1327,2020-05-15 18:15:00,622.54
17232,1327,2020-05-15 18:30:00,622.53
17233,1327,2020-05-15 18:45:00,622.51
17234,1327,2020-05-15 19:00:00,622.56
17235,1327,2020-05-15 19:15:00,622.69
17236,1327,2020-05-15 19:30:00,622.69
17237,1327,2020-05-15 19:45:00,622.81
17238,1327,2020-05-15 20:00:00,622.74
17239,1327,2020-05-15 20:15:00,622.93
17240,1327,2020-05-15 20:30:00,622.87
17241,1327,2020-05-15 20:45:00,623.08
17242,1327,2020-05-15 21:00:00,623.2
17243,1327,2020-05-15 21:15:00,623.27
17244,1327,2020-05-15 21:30:00,623.48
17245,1327,2020-05-15 21:45:00,623.61
17246,1327,2020-05-15 22:00:00,623.75
17247,1327,2020-05-15 22:15:00,623.75
17248,1327,2020-05-15 22:30:00,624.04
17249,1327,2020-05-15 22:45:00,624.1
17250,1327,2020-05-15 23:00:00,623.95
17251,1327,2020-05-15 23:15:00,624.01
17252,1327,2020-05-15 23:30:00,624.01
17253,1327,2020-05-15 23:45:00,623.87
17446,1327,2020-05-16 00:00:00,623.92
17447,1327,2020-05-16 00:15:00,623.86
17448,1327,2020-05-16 00:30:00,623.92
17449,1327,2020-05-16 00:45:00,624.0
17450,1327,2020-05-16 01:00:00,623.86
17451,1327,2020-05-16 01:15:00,623.92
17452,1327,2020-05-16 01:30:00,623.86
