,site,sample_down_to,matrix_size,mv_avg_width,nse,pbias,rmse
214,LDF,42,1000,750,[0.43938815],[0.06435135],[3.63768223]
215,LDF,42,1000,1000,[0.42416157],[0.06098574],[3.68675215]
216,LDF,21,2000,300,[0.47528004],[0.05175554],[3.51930909]
217,LDF,21,2000,500,[0.46698683],[0.06346813],[3.54701144]
218,LDF,21,2000,750,[0.45064275],[0.06273074],[3.60098285]
219,LDF,21,2000,1000,[0.43890654],[0.05869759],[3.63924441]
220,LDF,14,3000,300,[0.46111889],[0.05670673],[3.56648254]
221,LDF,14,3000,500,[0.45666242],[0.06664309],[3.58119931]
222,LDF,14,3000,750,[0.4465963],[0.06577955],[3.61422055]
223,LDF,14,3000,1000,[0.4375389],[0.06123278],[3.64367697]
224,LDF,10,4000,300,[-1.05120136e+13],[-78662.77223594],[15752031.77172656]
225,LDF,10,4000,500,[-7.52699031e+12],[-86513.90802704],[13329206.6015473]
226,LDF,10,4000,750,[-6.77927676e+12],[-61958.78572751],[12649847.88123599]
227,LDF,10,4000,1000,[-6.47691568e+12],[-55895.03274834],[12364533.70529664]
228,MIT,54,1000,300,[0.7746452],[-0.04579482],[5.08424097]
229,MIT,54,1000,500,[0.77818148],[-0.02045767],[5.04419208]
230,MIT,54,1000,750,[0.78252545],[-0.00233955],[4.99455657]
231,MIT,54,1000,1000,[0.78220372],[0.00947881],[4.99824964]
232,MIT,27,2000,300,[0.76794784],[-0.08200688],[5.15923756]
233,MIT,27,2000,500,[0.77676218],[-0.05277674],[5.06030399]
234,MIT,27,2000,750,[0.78084065],[-0.03145951],[5.01386598]
235,MIT,27,2000,1000,[0.78092851],[-0.01771074],[5.01286079]
236,MIT,18,3000,300,[0.77701196],[-0.06994554],[5.05747219]
237,MIT,18,3000,500,[0.78415536],[-0.05028183],[4.97580501]
238,MIT,18,3000,750,[0.78569855],[-0.03480981],[4.95798575]
239,MIT,18,3000,1000,[0.78414789],[-0.02342234],[4.97589113]
240,MIT,13,4000,300,[-4.24816527],[-0.1868328],[24.53558783]
241,MIT,13,4000,500,[-2.43988148],[-0.10299577],[19.86389705]
242,MIT,13,4000,750,[-1.68200763],[-0.06806083],[17.53972259]
243,MIT,13,4000,1000,[-1.25283288],[-0.0474344],[16.0752303]
244,NEB,75,1000,300,[0.76943049],[-0.04608688],[4.68162693]
245,NEB,75,1000,500,[0.77809773],[-0.0229945],[4.59279157]
246,NEB,75,1000,750,[0.7851208],[-0.00129169],[4.51952769]
247,NEB,75,1000,1000,[0.78457761],[0.00781287],[4.52523654]
248,NEB,37,2000,300,[0.77489431],[-0.04778169],[4.62582401]
249,NEB,37,2000,500,[0.78922949],[-0.02927297],[4.47611041]
250,NEB,37,2000,750,[0.78876068],[-0.01038804],[4.48108569]
251,NEB,37,2000,1000,[0.78543024],[-0.00146989],[4.51627231]
252,NEB,25,3000,300,[0.7808412],[-0.05345459],[4.56431201]
253,NEB,25,3000,500,[0.79382884],[-0.0358093],[4.42700313]
254,NEB,25,3000,750,[0.79604526],[-0.01944483],[4.40314275]
255,NEB,25,3000,1000,[0.79153539],[-0.01293862],[4.45155804]
256,NEB,18,4000,300,[-3069320.09849279],[99.94389969],[17081.14696661]
257,NEB,18,4000,500,[-2078322.81370185],[95.29194431],[14055.69983111]
258,NEB,18,4000,750,[-1616913.56643219],[86.66047336],[12397.65091986]
259,NEB,18,4000,1000,[-1462278.63742542],[79.0636058],[11789.92610791]
260,PBC,58,1000,300,[0.64685575],[0.03277963],[3.79769888]
261,PBC,58,1000,500,[0.65797649],[0.0300871],[3.73742457]
262,PBC,58,1000,750,[0.67740194],[0.020443],[3.62973845]
263,PBC,58,1000,1000,[0.67530873],[0.00265116],[3.64149536]
264,PBC,29,2000,300,[0.66103571],[0.03775609],[3.72067236]
265,PBC,29,2000,500,[0.66972563],[0.02858666],[3.67266987]
266,PBC,29,2000,750,[0.68620065],[0.01420752],[3.57989654]
267,PBC,29,2000,1000,[0.68429303],[-0.00162113],[3.59076133]
268,PBC,19,3000,300,[0.61195997],[0.0109239],[3.98091333]
269,PBC,19,3000,500,[0.63158078],[0.00652031],[3.87896264]
270,PBC,19,3000,750,[0.65473441],[-0.00090037],[3.75509656]
271,PBC,19,3000,1000,[0.65592602],[-0.01078002],[3.748611]
272,PBC,14,4000,300,[0.55269918],[0.03870173],[4.27409633]
273,PBC,14,4000,500,[0.5722206],[0.03082892],[4.17978929]
274,PBC,14,4000,750,[0.5931053],[0.01981719],[4.07648148]
275,PBC,14,4000,1000,[0.60076567],[0.00835342],[4.03792638]
276,SBL,44,1000,300,[0.82577736],[0.08205891],[5.20486131]
277,SBL,44,1000,500,[0.85360389],[0.06375607],[4.77113424]
278,SBL,44,1000,750,[0.86116594],[0.05040795],[4.64627456]
279,SBL,44,1000,1000,[0.86806363],[0.04059076],[4.5293838]
280,SBL,22,2000,300,[0.8347691],[0.10607347],[5.06876894]
281,SBL,22,2000,500,[0.85208189],[0.08801691],[4.79587152]
282,SBL,22,2000,750,[0.85760835],[0.07615999],[4.70542789]
283,SBL,22,2000,1000,[0.86308437],[0.0683605],[4.61406144]
284,SBL,14,3000,300,[0.75946459],[0.09425868],[6.11570282]
285,SBL,14,3000,500,[0.79309369],[0.08620261],[5.67209798]
286,SBL,14,3000,750,[0.81358062],[0.08315102],[5.38396698]
287,SBL,14,3000,1000,[0.82561457],[0.07960776],[5.2072923]
288,SBL,11,4000,300,[0.83076746],[0.12205302],[5.12978064]
289,SBL,11,4000,500,[0.8435709],[0.10778412],[4.93191552]
290,SBL,11,4000,750,[0.84827783],[0.09918764],[4.8571485]
291,SBL,11,4000,1000,[0.8520161],[0.0941031],[4.79693782]
292,SFL,50,1000,300,[0.41778247],[0.03201423],[10.86670778]
293,SFL,50,1000,500,[0.474722],[-0.01265565],[10.32166968]
294,SFL,50,1000,750,[0.4655999],[-0.02721665],[10.4109082]
295,SFL,50,1000,1000,[0.4498083],[-0.03141938],[10.56361019]
296,SFL,25,2000,300,[0.4059186],[0.05481196],[10.97686515]
297,SFL,25,2000,500,[0.46417262],[0.00780209],[10.42480171]
298,SFL,25,2000,750,[0.45894055],[-0.00513272],[10.47557437]
299,SFL,25,2000,1000,[0.45174169],[-0.00558467],[10.54503351]
300,SFL,16,3000,300,[-1581.9713522],[-3.16509316],[566.61997263]
301,SFL,16,3000,500,[-1474.95303077],[-3.18315688],[547.13137475]
